MIRNA	GENES	REGION	TARGETG_CHR
hsa-miR-27b-3p	NACA	exonic	chr12
hsa-miR-877-5p	NACA	UTR5	chr12
hsa-miR-671-5p	NACA	UTR5	chr12
hsa-miR-26b-5p	ZBTB39	UTR3	chr12
hsa-miR-30a-5p	ZBTB39	UTR3	chr12
hsa-miR-1228-5p	LRP1,MIR1228	exonic,ncRNA_exonic,splicing	chr12
hsa-miR-423-3p	SHMT2	exonic	chr12
hsa-miR-615-3p	SHMT2	exonic	chr12
hsa-miR-186-5p	SHMT2	exonic	chr12
hsa-miR-193b-3p	SHMT2	exonic	chr12
hsa-miR-103a-3p	MARS	exonic,intronic,splicing	chr12
hsa-miR-505-5p	MARS	exonic,intronic,splicing	chr12
hsa-miR-193b-3p	MARS	exonic,splicing	chr12
hsa-miR-222-3p	MARS	exonic,intronic,splicing	chr12
hsa-miR-92a-3p	MARS	exonic	chr12
hsa-miR-185-5p	MARS	exonic,splicing	chr12
hsa-miR-615-3p	MARS	exonic	chr12
hsa-miR-320a	MBD6	exonic	chr12
hsa-let-7b-5p	MBD6	UTR3,splicing	chr12
hsa-miR-149-5p	DCTN2	UTR3	chr12
hsa-miR-125b-5p	PIP4K2C	UTR3,splicing	chr12
hsa-miR-877-3p	PIP4K2C	UTR3,splicing	chr12
hsa-miR-320a	CDK4,TSPAN31	UTR3,exonic	chr12
hsa-miR-25-3p	CDK4,TSPAN31	UTR3,exonic	chr12
hsa-miR-766-3p	CDK4,TSPAN31	UTR3,exonic	chr12
hsa-miR-15b-5p	CDK4	exonic	chr12
hsa-miR-92a-3p	MARCH9	UTR3	chr12
hsa-miR-25-3p	TSFM	UTR3	chr12
hsa-miR-99a-5p	LRIG3	UTR3	chr12
hsa-miR-18a-5p	LRIG3	UTR3	chr12
hsa-let-7f-5p	LRIG3	UTR3,exonic	chr12
hsa-miR-17-5p	SLC16A7	downstream	chr12
hsa-miR-27a-3p	USP15	UTR3	chr12
hsa-miR-22-3p	AC084357.1,TMEM5-AS1	intergenic	chr12
hsa-miR-23a-3p	XPOT	exonic	chr12
hsa-miR-192-5p	TBK1	UTR3	chr12
hsa-miR-20a-5p	RASSF3	exonic,intronic,splicing	chr12
hsa-miR-17-5p	GNS	UTR3,downstream	chr12
hsa-miR-107	GNS	UTR3,downstream	chr12
hsa-miR-17-5p	GNS	UTR3,exonic	chr12
hsa-miR-16-5p	LEMD3	exonic	chr12
hsa-miR-10a-5p	LEMD3	UTR3	chr12
hsa-miR-10b-5p	LEMD3	UTR3	chr12
hsa-miR-760	HMGA2	exonic,intronic,splicing	chr12
hsa-miR-320a	HMGA2	exonic,intronic,splicing	chr12
hsa-miR-26b-5p	HMGA2	intronic	chr12
hsa-miR-23a-3p	HMGA2	UTR3	chr12
hsa-miR-331-3p	HMGA2	UTR3	chr12
hsa-miR-17-5p	HMGA2	UTR3	chr12
hsa-miR-196a-5p	HMGA2	UTR3	chr12
hsa-miR-16-5p	HMGA2	UTR3	chr12
hsa-miR-140-3p	HMGA2	UTR3	chr12
hsa-let-7a-5p	HMGA2	UTR3	chr12
hsa-let-7c-5p	HMGA2	UTR3	chr12
hsa-let-7f-5p	HMGA2	UTR3	chr12
hsa-miR-92a-3p	CAND1	exonic	chr12
hsa-miR-16-5p	CAND1	exonic	chr12
hsa-miR-195-5p	CAND1	exonic	chr12
hsa-miR-17-5p	CAND1	exonic	chr12
hsa-miR-1301-3p	CAND1	exonic	chr12
hsa-miR-503	RP11-335O4.3	ncRNA_exonic	chr12
hsa-miR-16-5p	RP11-335O4.3	ncRNA_intronic	chr12
hsa-miR-17-5p	NUP107	exonic	chr12
hsa-miR-92a-3p	MDM2	exonic,intronic,splicing	chr12
hsa-miR-19a-3p	MDM2	exonic,intronic,splicing	chr12
hsa-miR-320e	MDM2	intronic	chr12
hsa-miR-320c	MDM2	intronic	chr12
hsa-miR-320a	MDM2	intronic	chr12
hsa-miR-1269a	MDM2	exonic,splicing	chr12
hsa-miR-3929	MDM2	UTR3	chr12
hsa-miR-93-5p	RP11-611O2.5	ncRNA_exonic	chr12
hsa-miR-1269b	RP11-611O2.5	ncRNA_intronic	chr12
hsa-miR-17-5p	RP11-611O2.5	ncRNA_intronic	chr12
hsa-miR-484	RP11-611O2.5	ncRNA_exonic	chr12
hsa-miR-374a-5p	CPSF6	exonic	chr12
hsa-miR-16-5p	CPSF6	UTR3	chr12
hsa-miR-194-5p	FRS2	intronic	chr12
hsa-miR-19a-3p	FRS2	intronic	chr12
hsa-miR-1303	FRS2	exonic	chr12
hsa-miR-374a-5p	FRS2	UTR3	chr12
hsa-miR-222-3p	FRS2	UTR3	chr12
hsa-miR-96-5p	FRS2	UTR3	chr12
hsa-miR-196a-5p	FRS2	UTR3	chr12
hsa-miR-193b-3p	CCT2	exonic	chr12
hsa-miR-15b-5p	CCT2	exonic,intronic,splicing	chr12
hsa-miR-19a-3p	CCT2	exonic,intronic,splicing	chr12
hsa-miR-361-5p	CNOT2	exonic	chr12
hsa-miR-365a-3p	ZFC3H1	exonic	chr12
hsa-miR-26a-5p	THAP2	UTR3,exonic	chr12
hsa-miR-17-5p	TMEM19	UTR3	chr12
hsa-miR-196a-5p	RAB21	UTR3	chr12
hsa-miR-19b-3p	RAB21	UTR3	chr12
hsa-let-7g-5p	RAB21	UTR3	chr12
hsa-miR-20a-5p	TBC1D15	exonic	chr12
hsa-miR-17-5p	TBC1D15	exonic	chr12
hsa-miR-106b-5p	TBC1D15	UTR3	chr12
hsa-miR-320a	ATXN7L3B	UTR3	chr12
hsa-miR-320c	ATXN7L3B	UTR3	chr12
hsa-miR-497-5p	ATXN7L3B	UTR3	chr12
hsa-miR-1301-3p	ATXN7L3B	UTR3	chr12
hsa-miR-484	ATXN7L3B	UTR3	chr12
hsa-miR-1269a	ATXN7L3B	UTR3	chr12
hsa-miR-194-5p	ATXN7L3B,RP11-81K13.1	intergenic	chr12
hsa-miR-194-5p	NAP1L1	UTR3	chr12
hsa-miR-17-5p	NAP1L1	UTR3,exonic,splicing	chr12
hsa-miR-20a-5p	NAP1L1	UTR3,exonic,splicing	chr12
hsa-miR-17-5p	NAP1L1	exonic	chr12
hsa-miR-20a-5p	NAP1L1	exonic	chr12
hsa-miR-877-3p	NAP1L1	exonic	chr12
hsa-miR-30a-3p	NAP1L1	exonic	chr12
hsa-miR-10a-5p	NAP1L1	exonic,splicing	chr12
hsa-miR-10b-5p	NAP1L1	exonic,splicing	chr12
hsa-miR-26a-5p	NAP1L1	exonic,intronic,splicing	chr12
hsa-miR-26b-5p	NAP1L1	exonic,intronic,splicing	chr12
hsa-miR-26b-5p	NAP1L1	exonic	chr12
hsa-miR-26a-5p	NAP1L1	exonic	chr12
hsa-miR-28-5p	OSBPL8	UTR3	chr12
hsa-miR-181b-5p	OSBPL8	UTR3	chr12
hsa-miR-149-5p	OSBPL8	exonic	chr12
hsa-miR-16-5p	E2F7	UTR3	chr12
hsa-miR-125b-5p	E2F7	exonic	chr12
hsa-let-7b-5p	E2F7	exonic	chr12
hsa-miR-26a-5p	PAWR	UTR3	chr12
hsa-miR-15a-5p	CCDC59	exonic,intronic,splicing	chr12
hsa-miR-15b-5p	LRRIQ1	intronic	chr12
hsa-miR-20a-5p	AC021887.1,RP11-408B11.2	intergenic	chr12
hsa-miR-93-5p	AC021887.1,RP11-408B11.2	intergenic	chr12
hsa-miR-320a	AC010196.1,RP11-202H2.1	ncRNA_exonic,ncRNA_intronic	chr12
hsa-miR-423-5p	AC010196.1,RP11-202H2.1	ncRNA_exonic,ncRNA_intronic	chr12
hsa-miR-93-5p	RP11-202H2.1	ncRNA_intronic	chr12
hsa-miR-17-5p	RP11-202H2.1	ncRNA_intronic	chr12
hsa-let-7i-5p	C12orf29	UTR3	chr12
hsa-miR-30a-5p	TMTC3	UTR3	chr12
hsa-miR-574-3p	DUSP6	UTR3	chr12
hsa-let-7a-5p	ATP2B1	exonic	chr12
hsa-miR-192-5p	ATP2B1	UTR5	chr12
hsa-miR-195-5p	RP11-587P21.2	ncRNA_exonic	chr12
hsa-miR-16-5p	RP11-587P21.2	ncRNA_exonic	chr12
hsa-miR-320a	C12orf79	intronic	chr12
hsa-miR-320d	C12orf79	intronic	chr12
hsa-miR-320c	BTG1	UTR3	chr12
hsa-let-7a-5p	NUDT4	UTR3	chr12
hsa-let-7f-5p	NUDT4	UTR3	chr12
hsa-miR-877-5p	UBE2N	UTR3	chr12
hsa-miR-186-5p	MRPL42	exonic	chr12
hsa-miR-26a-5p	CRADD,SOCS2	intergenic	chr12
hsa-miR-27a-3p	NDUFA12	exonic,intronic,splicing	chr12
hsa-miR-877-3p	SNRPF	UTR3,exonic	chr12
hsa-let-7b-5p	LTA4H	exonic	chr12
hsa-let-7c-5p	LTA4H	exonic	chr12
hsa-let-7a-5p	LTA4H	exonic	chr12
hsa-miR-193b-3p	CDK17	UTR3	chr12
hsa-miR-1296-5p	TMPO-AS1	ncRNA_exonic	chr12
hsa-miR-1301-3p	TMPO	exonic	chr12
hsa-miR-151a-3p	TMPO	UTR3	chr12
hsa-miR-320a	TMPO	UTR3	chr12
hsa-miR-1260b	SLC25A3	exonic	chr12
hsa-let-7a-5p	SLC25A3	exonic	chr12
hsa-miR-148a-3p	SLC25A3	exonic	chr12
hsa-miR-744-5p	SLC25A3	exonic	chr12
hsa-miR-92a-3p	SLC25A3	exonic	chr12
hsa-miR-92a-3p	SLC25A3	exonic,intronic,splicing	chr12
hsa-miR-17-5p	SLC25A3	exonic	chr12
hsa-miR-877-5p	SLC25A3	exonic	chr12
hsa-miR-374a-5p	SLC25A3	UTR3	chr12
hsa-miR-19a-3p	IKBIP	UTR3	chr12
hsa-miR-17-5p	UHRF1BP1L	intronic	chr12
hsa-miR-103a-3p	GAS2L3	exonic	chr12
hsa-miR-195-5p	GAS2L3	exonic	chr12
hsa-miR-32-5p	GAS2L3	UTR3	chr12
hsa-miR-27a-3p	UTP20	exonic,intronic,splicing	chr12
hsa-miR-17-5p	ARL1	UTR3	chr12
hsa-miR-23a-3p	ARL1	UTR3	chr12
hsa-miR-92a-3p	MYBPC1	intronic	chr12
hsa-miR-181a-5p	RP11-512N21.3	ncRNA_intronic	chr12
hsa-miR-193b-3p	NUP37	exonic	chr12
hsa-miR-10a-5p	NUP37	exonic	chr12
hsa-miR-17-5p	PARPBP	intronic	chr12
hsa-miR-320a	IGF1	UTR3	chr12
hsa-miR-320c	IGF1	UTR3	chr12
hsa-miR-92a-3p	NT5DC3	exonic	chr12
hsa-miR-128-3p	HSP90B1	exonic	chr12
hsa-miR-26b-5p	HSP90B1	exonic	chr12
hsa-miR-25-3p	TDG	exonic	chr12
hsa-miR-125b-5p	TDG	UTR3	chr12
hsa-miR-125a-5p	TDG	UTR3	chr12
hsa-miR-27a-3p	TDG	UTR3	chr12
hsa-miR-19b-3p	HCFC2	downstream	chr12
hsa-miR-374a-5p	TXNRD1	UTR3	chr12
hsa-miR-191-5p	ALDH1L2,C12orf45	intergenic	chr12
hsa-miR-877-3p	CKAP4	exonic	chr12
hsa-miR-615-3p	CKAP4	exonic	chr12
hsa-miR-320c	TCP11L2	downstream	chr12
hsa-miR-320a	TCP11L2	downstream	chr12
hsa-miR-301a-3p	RIC8B	exonic	chr12
hsa-miR-92b-3p	PWP1	exonic	chr12
hsa-miR-18a-5p	PWP1	exonic,intronic,splicing	chr12
hsa-miR-23a-3p	RP11-864J10.4	ncRNA_intronic	chr12
hsa-let-7f-5p	SART3	exonic	chr12
hsa-let-7g-5p	SART3	exonic	chr12
hsa-miR-210-3p	ISCU	UTR3	chr12
hsa-miR-877-3p	SSH1	UTR3	chr12
hsa-miR-877-5p	USP30	exonic	chr12
hsa-miR-129-2-3p	UNG	UTR3	chr12
hsa-miR-125b-5p	UNG	UTR3	chr12
hsa-miR-17-5p	UNG	UTR3	chr12
hsa-miR-196a-5p	GLTP	UTR3	chr12
hsa-miR-25-3p	GIT2	UTR3	chr12
hsa-miR-18a-5p	C12orf76	UTR3	chr12
hsa-miR-23a-3p	ATP2A2	UTR3	chr12
hsa-let-7c-5p	ATP2A2	UTR3	chr12
hsa-let-7a-5p	ATP2A2	UTR3	chr12
hsa-let-7f-5p	ATP2A2	UTR3	chr12
hsa-let-7b-5p	ATP2A2	UTR3	chr12
hsa-miR-31-5p	ATP2A2	UTR3	chr12
hsa-miR-221-3p	ATP2A2	UTR3	chr12
hsa-miR-18a-3p	ANAPC7	UTR3	chr12
hsa-miR-26a-5p	ANAPC7,RP11-478C19.2	exonic,ncRNA_intronic,splicing	chr12
hsa-miR-192-5p	ARPC3,RP11-478C19.2	exonic,ncRNA_intronic,splicing	chr12
hsa-miR-149-5p	FAM216A	exonic	chr12
hsa-miR-708-5p	VPS29	exonic	chr12
hsa-miR-93-5p	PPTC7	UTR3	chr12
hsa-miR-27a-3p	PPP1CC	UTR3	chr12
hsa-miR-101-3p	PPP1CC	UTR3	chr12
hsa-miR-92a-3p	PPP1CC	UTR3,exonic	chr12
hsa-miR-19a-3p	PPP1CC	UTR3,exonic	chr12
hsa-miR-484	PPP1CC	UTR3,exonic	chr12
hsa-miR-26a-5p	PPP1CC	exonic	chr12
hsa-miR-15b-5p	PPP1CC	exonic	chr12
hsa-miR-26a-5p	PPP1CC	exonic,splicing	chr12
hsa-miR-26b-5p	PPP1CC	exonic,splicing	chr12
hsa-miR-16-5p	PPP1CC	exonic,splicing	chr12
hsa-miR-185-5p	PPP1CC	exonic,splicing	chr12
hsa-miR-26b-5p	PPP1CC	exonic	chr12
hsa-miR-877-3p	SH2B3	UTR3	chr12
hsa-miR-744-5p	ERP29	UTR5,exonic	chr12
hsa-miR-3657	MIR3657	ncRNA_exonic	chr12
hsa-miR-92a-3p	NAA25	exonic	chr12
hsa-miR-181a-5p	NAA25	exonic	chr12
hsa-miR-182-5p	RPL6	exonic	chr12
hsa-miR-652-3p	RPL6	exonic	chr12
hsa-miR-193b-3p	RPL6	exonic	chr12
hsa-miR-1226-3p	RPL6	exonic	chr12
hsa-miR-361-5p	RPL6	exonic	chr12
hsa-miR-149-5p	RPL6	exonic	chr12
hsa-miR-186-5p	RPL6	exonic	chr12
hsa-miR-197-3p	RPL6	exonic	chr12
hsa-miR-30d-5p	RPL6	exonic	chr12
hsa-miR-342-3p	RPL6	exonic	chr12
hsa-miR-320b	RP11-545P7.4	ncRNA_intronic	chr12
hsa-miR-320a	RP11-545P7.4	ncRNA_intronic	chr12
hsa-miR-130a-3p	TPCN1	exonic	chr12
hsa-miR-19a-3p	TPCN1	exonic	chr12
hsa-miR-16-5p	RP11-115H15.2	ncRNA_intronic	chr12
hsa-let-7b-5p	C12orf49	UTR3	chr12
hsa-miR-122-5p	FBXO21	UTR3	chr12
hsa-miR-339-5p	RFC5	UTR3	chr12
hsa-miR-193b-3p	WSB2	UTR3	chr12
hsa-miR-615-3p	WSB2	UTR3	chr12
hsa-miR-194-5p	PEBP1	UTR3	chr12
hsa-miR-197-3p	SUDS3	exonic	chr12
hsa-miR-99a-5p	SUDS3	exonic	chr12
hsa-miR-92a-3p	CIT	exonic	chr12
hsa-miR-30d-5p	RAB35	exonic	chr12
hsa-miR-760	RAB35	exonic	chr12
hsa-let-7a-5p	GCN1L1	exonic	chr12
hsa-miR-30e-5p	RPLP0	exonic	chr12
hsa-miR-30d-5p	RPLP0	exonic	chr12
hsa-miR-30d-5p	RPLP0	exonic,splicing	chr12
hsa-miR-30e-5p	RPLP0	exonic,splicing	chr12
hsa-miR-365a-3p	RPLP0	exonic,splicing	chr12
hsa-miR-505-3p	RPLP0	exonic,splicing	chr12
hsa-miR-149-5p	RPLP0	exonic	chr12
hsa-miR-15b-5p	RPLP0	exonic	chr12
hsa-miR-331-3p	RPLP0	exonic	chr12
hsa-miR-15b-5p	RPLP0	exonic,splicing	chr12
hsa-miR-331-3p	RPLP0	exonic,splicing	chr12
hsa-miR-125b-5p	RPLP0	exonic	chr12
hsa-miR-183-5p	RPLP0	exonic	chr12
hsa-miR-16-5p	RPLP0	exonic	chr12
hsa-miR-484	RPLP0	exonic	chr12
hsa-miR-324-3p	RPLP0	exonic	chr12
hsa-miR-1908	RNU4-2	ncRNA_exonic	chr12
hsa-miR-26b-5p	RNU4-2	ncRNA_exonic	chr12
hsa-miR-92a-3p	RNU4-1	downstream,ncRNA_exonic	chr12
hsa-miR-130b-5p	RNF10	exonic	chr12
hsa-miR-484	RNF10	exonic	chr12
hsa-miR-222-3p	RNF10	exonic	chr12
hsa-miR-19a-3p	RP11-173P15.3	ncRNA_exonic,splicing	chr12
hsa-miR-106b-5p	MIR4700,RP11-173P15.5	ncRNA_exonic,ncRNA_intronic	chr12
hsa-miR-103a-3p	SPPL3	UTR3	chr12
hsa-miR-30c-5p	RNF34	exonic,splicing	chr12
hsa-miR-30b-5p	RNF34	exonic,splicing	chr12
hsa-miR-17-5p	ORAI1	UTR3	chr12
hsa-miR-25-3p	SETD1B	exonic	chr12
hsa-miR-92a-3p	SETD1B	exonic	chr12
hsa-miR-24-3p	BCL7A	UTR3	chr12
hsa-miR-877-5p	MLXIP	UTR5	chr12
hsa-miR-130b-3p	CLIP1	UTR3	chr12
hsa-miR-197-3p	RSRC2	UTR3	chr12
hsa-miR-26b-5p	RSRC2	UTR3	chr12
hsa-miR-425-5p	DENR	UTR3	chr12
hsa-miR-221-3p	DENR	UTR3	chr12
hsa-let-7b-5p	DENR	UTR3	chr12
hsa-miR-106b-3p	DENR	UTR3	chr12
hsa-miR-148a-3p	DENR	UTR3	chr12
hsa-miR-92a-3p	MPHOSPH9	UTR3	chr12
hsa-miR-331-3p	C12orf65	exonic	chr12
hsa-miR-18a-3p	CDK2AP1	UTR3,exonic	chr12
hsa-miR-218-5p	SBNO1	exonic	chr12
hsa-miR-122-3p	SBNO1	exonic	chr12
hsa-miR-196a-5p	SBNO1	exonic,intronic,splicing	chr12
hsa-miR-188-5p	SBNO1	exonic	chr12
hsa-miR-15b-5p	TMED2	exonic	chr12
hsa-miR-16-5p	TMED2	exonic	chr12
hsa-miR-93-5p	GTF2H3	intronic	chr12
hsa-miR-2110	NCOR2	exonic	chr12
hsa-miR-324-5p	SCARB1	exonic	chr12
hsa-miR-877-3p	SCARB1	exonic	chr12
hsa-miR-106b-5p	UBC	UTR3,exonic	chr12
hsa-miR-17-5p	UBC	UTR3,exonic	chr12
hsa-miR-18a-5p	UBC	exonic,splicing	chr12
hsa-miR-324-3p	UBC	exonic,splicing	chr12
hsa-miR-615-3p	UBC	exonic	chr12
hsa-miR-769-3p	UBC	exonic	chr12
hsa-miR-877-5p	UBC	exonic	chr12
hsa-miR-324-3p	UBC	exonic	chr12
hsa-miR-296-3p	UBC	exonic	chr12
hsa-miR-615-3p	UBC	UTR5	chr12
hsa-miR-27a-3p	RP11-575F12.1,RP11-575F12.2	intergenic	chr12
hsa-miR-181a-5p	RP11-575F12.1,RP11-575F12.2	intergenic	chr12
hsa-miR-23a-3p	RP11-575F12.2	ncRNA_exonic,ncRNA_intronic,ncRNA_splicing	chr12
hsa-miR-16-2-3p	AC079949.1	downstream	chr12
hsa-miR-423-3p	AC079949.1	downstream	chr12
hsa-miR-26b-5p	AC079949.1	downstream	chr12
hsa-miR-99a-3p	AC079949.1	downstream	chr12
hsa-miR-194-5p	AC079949.1	downstream	chr12
hsa-miR-92a-3p	AC079949.1	downstream	chr12
hsa-miR-30a-5p	AC079949.1	downstream	chr12
hsa-miR-196a-5p	AC079949.1	downstream	chr12
hsa-miR-744-5p	AC079949.1	upstream	chr12
hsa-miR-27a-3p	AC079949.1	upstream	chr12
hsa-miR-17-5p	AC079949.1	upstream	chr12
hsa-miR-501-5p	AC079949.1	upstream	chr12
hsa-miR-26a-5p	AC079949.1	upstream	chr12
hsa-miR-122-5p	AC079949.1	upstream	chr12
hsa-miR-18a-3p	AC079949.1	upstream	chr12
hsa-miR-221-3p	AC079949.1	upstream	chr12
hsa-miR-151a-5p	SLC15A4	UTR3	chr12
hsa-miR-320a	RAN	exonic	chr12
hsa-miR-22-5p	RAN	exonic	chr12
hsa-miR-744-5p	RAN	exonic	chr12
hsa-miR-744-5p	RAN	UTR3,exonic	chr12
hsa-miR-320a	RAN	UTR3,exonic	chr12
hsa-miR-149-5p	RAN	UTR3,exonic	chr12
hsa-miR-615-3p	RAN	UTR3	chr12
hsa-miR-92b-3p	RAN	UTR3	chr12
hsa-miR-149-5p	RAN	UTR3	chr12
hsa-miR-339-5p	RAN	UTR3	chr12
hsa-miR-16-5p	RAN	UTR3	chr12
hsa-miR-194-5p	RAN	UTR3	chr12
hsa-miR-1260b	RAN	UTR3	chr12
hsa-let-7a-5p	SFSWAP	exonic	chr12
hsa-miR-27a-3p	MMP17	intronic	chr12
hsa-miR-103a-3p	ULK1	UTR3	chr12
hsa-miR-320a	ULK1	UTR3	chr12
hsa-miR-193b-3p	PUS1	exonic	chr12
hsa-miR-122-5p	EP400	exonic	chr12
hsa-miR-320a	EP400	exonic	chr12
hsa-miR-365a-3p	EP400,RP13-820C6.2	downstream,ncRNA_exonic,upstream	chr12
hsa-miR-4279	NOC4L,RP13-977J11.2	intergenic	chr12
hsa-miR-27a-3p	NOC4L,RP13-977J11.2	intergenic	chr12
hsa-miR-92a-3p	ZNF84	UTR3	chr12
hsa-miR-92a-3p	ZNF10	exonic	chr12
hsa-miR-196a-5p	ZMYM5	exonic	chr13
hsa-miR-25-3p	LATS2	UTR3	chr13
hsa-miR-17-5p	LATS2	exonic	chr13
hsa-miR-196a-5p	SAP18	exonic	chr13
hsa-miR-324-5p	SAP18	exonic	chr13
hsa-miR-324-3p	SAP18	exonic	chr13
hsa-miR-484	SAP18	exonic	chr13
hsa-miR-877-5p	SAP18	UTR3	chr13
hsa-miR-30a-5p	RNA5SP25,ZDHHC20	intergenic	chr13
hsa-miR-194-5p	TNFRSF19	intronic	chr13
hsa-miR-27a-3p	TNFRSF19	intronic	chr13
hsa-miR-192-5p	SPATA13	UTR3	chr13
hsa-miR-1260b	PARP4	exonic	chr13
hsa-miR-130b-3p	ATP12A,RNY1P7	intronic,ncRNA_exonic	chr13
hsa-miR-454-3p	ATP12A,RNY1P7	intronic,ncRNA_exonic	chr13
hsa-let-7a-5p	NUPL1	exonic	chr13
hsa-let-7c-5p	NUPL1	exonic	chr13
hsa-miR-374a-5p	NUPL1	UTR3	chr13
hsa-miR-194-5p	NUPL1	UTR3	chr13
hsa-miR-222-3p	SHISA2	exonic	chr13
hsa-miR-183-5p	SHISA2	exonic	chr13
hsa-miR-652-3p	RPL21	exonic,splicing	chr13
hsa-miR-221-3p	RPL21	exonic,splicing	chr13
hsa-miR-100-5p	RPL21	exonic,splicing	chr13
hsa-miR-221-3p	RPL21	exonic	chr13
hsa-miR-100-5p	RPL21	exonic	chr13
hsa-miR-17-5p	RPL21	exonic	chr13
hsa-miR-106b-5p	RPL21	exonic	chr13
hsa-miR-20a-5p	RPL21	exonic	chr13
hsa-miR-374a-3p	POLR1D	UTR3	chr13
hsa-miR-26b-5p	ATP5EP2	UTR3,exonic	chr13
hsa-miR-301a-3p	POMP	UTR3	chr13
hsa-miR-671-5p	SLC7A1	UTR3	chr13
hsa-miR-92a-3p	SLC7A1	UTR3	chr13
hsa-miR-548h-5p	AL356750.1,KATNAL1	UTR3,ncRNA_exonic	chr13
hsa-miR-548j-5p	AL356750.1,KATNAL1	UTR3,ncRNA_exonic	chr13
hsa-miR-17-5p	LINC00426,LINC00427	intergenic	chr13
hsa-miR-27a-3p	LINC00426,LINC00427	intergenic	chr13
hsa-miR-21-5p	LINC00426,LINC00427	intergenic	chr13
hsa-miR-100-5p	HMGB1	UTR3	chr13
hsa-miR-148a-3p	HMGB1	UTR3	chr13
hsa-miR-148b-3p	HMGB1	UTR3	chr13
hsa-let-7b-5p	HMGB1	UTR3	chr13
hsa-miR-26b-5p	HMGB1	UTR3	chr13
hsa-let-7g-5p	HMGB1	UTR3	chr13
hsa-miR-652-3p	HMGB1	UTR3	chr13
hsa-miR-18a-3p	HMGB1	exonic	chr13
hsa-miR-877-3p	HMGB1	exonic	chr13
hsa-miR-92a-3p	HMGB1	UTR5	chr13
hsa-miR-328-3p	HMGB1	UTR5	chr13
hsa-miR-30c-5p	HSPH1	UTR3	chr13
hsa-miR-16-5p	HSPH1	exonic	chr13
hsa-miR-484	N4BP2L2	exonic	chr13
hsa-miR-320e	PDS5B	intronic	chr13
hsa-miR-320a	PDS5B	intronic	chr13
hsa-miR-193b-3p	PDS5B	UTR3	chr13
hsa-miR-20a-5p	RFC3	exonic	chr13
hsa-miR-93-5p	RFC3	exonic	chr13
hsa-miR-186-5p	RFC3	intronic	chr13
hsa-let-7b-5p	EXOSC8,SUPT20H	UTR3	chr13
hsa-miR-196a-5p	PROSER1	exonic	chr13
hsa-miR-92a-3p	NHLRC3	UTR3	chr13
hsa-miR-30a-5p	ELF1	UTR3	chr13
hsa-miR-130a-3p	ELF1	UTR3	chr13
hsa-miR-19a-3p	ELF1	UTR3	chr13
hsa-miR-20a-5p	WBP4	UTR3	chr13
hsa-miR-10b-5p	KBTBD6	UTR3,exonic	chr13
hsa-miR-18a-3p	NAA16	UTR3	chr13
hsa-miR-16-5p	AKAP11	exonic	chr13
hsa-miR-194-5p	AKAP11	exonic	chr13
hsa-miR-17-5p	AKAP11	exonic	chr13
hsa-let-7g-5p	AKAP11	UTR3	chr13
hsa-miR-100-5p	TSC22D1	UTR3	chr13
hsa-miR-192-5p	TSC22D1	UTR3	chr13
hsa-miR-421	TSC22D1	UTR3	chr13
hsa-miR-374b-5p	TPT1	UTR3	chr13
hsa-let-7b-5p	TPT1	UTR3	chr13
hsa-miR-92a-3p	TPT1	UTR3	chr13
hsa-miR-128	TPT1	exonic	chr13
hsa-miR-29b-3p	TPT1	exonic	chr13
hsa-miR-92a-3p	TPT1	exonic	chr13
hsa-miR-3200-3p	TPT1	exonic	chr13
hsa-miR-92a-3p	LCP1	exonic,splicing	chr13
hsa-miR-17-5p	RNU2-6P	ncRNA_exonic	chr13
hsa-miR-17-5p	LRCH1	UTR3	chr13
hsa-miR-193b-3p	ESD	exonic	chr13
hsa-miR-324-5p	ESD	exonic	chr13
hsa-miR-17-5p	LINC00562	downstream	chr13
hsa-miR-106b-5p	LINC00562	downstream	chr13
hsa-miR-19a-3p	MED4	UTR3	chr13
hsa-miR-17-5p	MED4	intronic	chr13
hsa-miR-320a	MED4	intronic	chr13
hsa-miR-320b	ITM2B	exonic	chr13
hsa-miR-320a	ITM2B	exonic	chr13
hsa-miR-186-5p	ITM2B	UTR3	chr13
hsa-miR-99a-5p	ITM2B	UTR3	chr13
hsa-miR-100-5p	ITM2B	UTR3	chr13
hsa-miR-1269a	ITM2B,LINC00441	intergenic	chr13
hsa-miR-222-3p	RB1	exonic,intronic,splicing	chr13
hsa-miR-99a-5p	RB1	UTR3	chr13
hsa-miR-100-5p	RB1	UTR3	chr13
hsa-let-7a-5p	FNDC3A	UTR3	chr13
hsa-miR-328-3p	RCBTB1	exonic	chr13
hsa-miR-26a-5p	KPNA3	UTR3	chr13
hsa-miR-103a-3p	DLEU2	ncRNA_intronic	chr13
hsa-miR-194-5p	AL138696.1,RP11-175B12.2	intergenic	chr13
hsa-miR-186-5p	AL138696.1,RP11-175B12.2	intergenic	chr13
hsa-miR-191-5p	DLEU7,RP11-175B12.2	intergenic	chr13
hsa-miR-221-3p	DLEU7,RP11-175B12.2	intergenic	chr13
hsa-miR-93-5p	RNASEH2B	intronic	chr13
hsa-miR-30c-5p	WDFY2	intronic	chr13
hsa-miR-20a-5p	ATP7B,CCDC70	intergenic	chr13
hsa-miR-17-5p	ATP7B,CCDC70	intergenic	chr13
hsa-miR-27a-3p	ATP7B	exonic	chr13
hsa-miR-27b-3p	ATP7B	exonic	chr13
